"SA32023_V1_00_usual_residence_address","SA32023_V1_00_NAME_usual_residence_address","SA32023_V1_00_NAME_ASCII_usual_residence_address","SA32023_V1_00_workplace_address","SA32023_V1_00_NAME_workplace_address","SA32023_V1_00_NAME_ASCII_workplace_address","2018_Work_at_home","2018_Drive_a_private_car_truck_or_van","2018_Drive_a_company_car_truck_or_van","2018_Passenger_in_a_car_truck_van_or_company_bus","2018_Public_bus","2018_Train","2018_Bicycle","2018_Walk_or_jog","2018_Ferry","2018_Other","2018_Total_stated","2023_Work_at_home","2023_Drive_a_private_car_truck_or_van","2023_Drive_a_company_car_truck_or_van","2023_Passenger_in_a_car_truck_van_or_company_bus","2023_Public_bus","2023_Train","2023_Bicycle","2023_Walk_or_jog","2023_Ferry","2023_Other","2023_Total_stated"
"Total","Total","Total","50850","Waiheke Island","Waiheke Island",879,1416,270,132,102,15,45,198,117,69,3240,1371,1560,339,153,138,6,72,186,168,60,4053
"50860","Waitākere West","Waitakere West","Total","Total","Total",468,1680,411,66,24,117,18,30,3,30,2844,870,1581,369,78,15,33,12,27,0,18,3000
"Total","Total","Total","50860","Waitākere West","Waitakere West",468,312,78,18,9,0,6,21,0,3,918,870,342,84,21,6,3,0,21,0,3,1350
"50870","Taupaki","Taupaki","Total","Total","Total",183,390,111,24,6,9,6,6,6,6,747,276,459,144,24,3,6,0,9,3,6,930
"Total","Total","Total","50870","Taupaki","Taupaki",183,129,45,12,0,3,0,9,0,3,381,276,198,63,9,3,0,3,9,0,6,564
"50880","Swanson","Swanson","Total","Total","Total",90,627,114,30,18,111,6,12,0,12,1023,402,1077,150,69,9,123,9,15,0,15,1878
"Total","Total","Total","50880","Swanson","Swanson",90,534,171,24,6,12,6,24,0,9,879,402,687,183,27,15,12,9,30,0,15,1383
"50890","Whenuapai","Whenuapai","Total","Total","Total",294,1020,243,51,36,0,57,183,30,24,1941,777,1962,372,69,90,3,66,96,48,27,3510
"Total","Total","Total","50890","Whenuapai","Whenuapai",294,1572,279,66,30,9,69,180,0,45,2550,777,1560,279,57,21,3,84,96,3,36,2913
"50900","Beach Haven","Beach Haven","Total","Total","Total",507,2931,534,171,684,6,27,42,66,66,5037,1257,2700,489,138,636,3,21,42,18,57,5370
"Total","Total","Total","50900","Beach Haven","Beach Haven",507,285,54,30,15,3,3,24,0,0,927,1257,363,69,21,21,0,3,36,0,0,1770
"50910","Hobsonville","Hobsonville","Total","Total","Total",279,1434,306,75,144,0,24,27,186,18,2496,2019,3846,705,141,246,6,39,114,387,57,7560
"Total","Total","Total","50910","Hobsonville","Hobsonville",279,804,177,42,18,3,9,33,0,9,1377,2019,2472,492,147,84,9,24,120,12,30,5409
"50920","West Harbour","West Harbour","Total","Total","Total",570,3243,627,159,144,18,12,57,168,39,5031,1077,3009,588,180,111,3,33,69,135,60,5268
"Total","Total","Total","50920","West Harbour","West Harbour",570,558,141,39,33,6,6,48,3,6,1410,1077,561,126,45,24,3,3,30,0,6,1878
"50930","Westgate","Westgate","Total","Total","Total",69,513,75,39,39,6,9,18,3,3,774,336,879,117,54,93,3,9,24,9,15,1536
"Total","Total","Total","50930","Westgate","Westgate",69,1836,189,171,177,15,9,63,3,18,2550,336,3504,414,351,276,9,12,78,0,66,5049
"50940","Massey","Massey","Total","Total","Total",705,6534,1122,519,414,114,66,81,45,105,9711,1776,6738,1173,522,360,60,57,78,39,126,10929
"Total","Total","Total","50940","Massey","Massey",705,969,183,66,21,9,9,60,0,6,2028,1776,1125,204,81,36,9,9,51,6,9,3306
"50950","Te Atatū Peninsula","Te Atatu Peninsula","Total","Total","Total",543,3639,669,186,435,18,138,99,0,87,5826,1452,3849,699,210,378,3,159,123,0,66,6939
"Total","Total","Total","50950","Te Atatū Peninsula","Te Atatu Peninsula",543,1293,144,93,63,15,27,93,0,24,2295,1452,1425,189,93,63,9,39,105,0,15,3390
"50960","Henderson","Henderson","Total","Total","Total",1089,9981,1500,756,567,912,117,402,6,153,15486,2763,10227,1461,783,615,561,96,390,6,192,17088
"Total","Total","Total","50960","Henderson","Henderson",1089,13338,2409,867,678,336,189,501,12,156,19578,2763,15114,2544,1026,741,243,138,465,12,228,23271
"50970","Rānui (Auckland)","Ranui (Auckland)","Total","Total","Total",306,3252,495,270,96,366,27,60,0,54,4926,885,3345,510,273,126,243,24,51,0,57,5511
"Total","Total","Total","50970","Rānui (Auckland)","Ranui (Auckland)",306,453,57,27,12,9,3,18,0,9,891,885,552,72,39,18,12,3,15,0,6,1596
"50980","Te Atatū South","Te Atatu South","Total","Total","Total",489,4224,711,285,474,90,84,96,6,69,6525,1287,4254,693,297,387,51,87,96,0,87,7236
"Total","Total","Total","50980","Te Atatū South","Te Atatu South",489,1050,192,72,54,12,9,57,0,6,1944,1287,1110,207,72,54,9,15,57,0,12,2817
"50990","Bayview (Auckland)","Bayview (Auckland)","Total","Total","Total",309,2976,453,159,555,12,18,45,3,69,4599,900,2766,423,156,444,3,15,60,3,45,4812
"Total","Total","Total","50990","Bayview (Auckland)","Bayview (Auckland)",309,273,48,15,24,3,0,18,0,3,702,900,297,54,21,15,0,0,24,0,3,1317
"51000","Milford","Milford","Total","Total","Total",441,1833,318,96,477,6,39,285,3,42,3543,885,1749,300,87,414,3,45,258,3,42,3786
"Total","Total","Total","51000","Milford","Milford",441,1461,141,99,132,3,15,123,0,15,2430,885,1476,177,114,138,3,27,126,0,18,2967
"51010","Takapuna","Takapuna","Total","Total","Total",546,1749,288,75,585,12,48,393,18,42,3762,1095,1794,294,66,516,3,57,315,9,45,4191
"Total","Total","Total","51010","Takapuna","Takapuna",546,12492,951,468,1734,135,192,747,39,249,17553,1095,11721,1002,456,1557,51,228,579,21,225,16941
"51020","Birkdale","Birkdale","Total","Total","Total",345,2679,465,186,672,12,15,90,30,66,4557,1011,2517,402,162,582,6,21,75,3,57,4836
"Total","Total","Total","51020","Birkdale","Birkdale",345,741,111,42,42,0,9,69,0,9,1368,1011,783,111,39,36,0,6,57,3,12,2061
"51030","Hillcrest (Auckland)","Hillcrest (Auckland)","Total","Total","Total",468,3024,432,168,729,9,51,162,18,66,5127,1140,3078,423,144,645,3,48,96,6,81,5664
"Total","Total","Total","51030","Hillcrest (Auckland)","Hillcrest (Auckland)",468,450,78,24,27,3,3,36,0,6,1095,1140,423,66,36,33,0,6,36,0,6,1749
"51040","Northcote (Auckland)","Northcote (Auckland)","Total","Total","Total",360,2037,282,114,570,6,24,150,12,60,3621,894,2256,318,123,576,6,21,99,6,54,4356
"Total","Total","Total","51040","Northcote (Auckland)","Northcote (Auckland)",360,3591,354,174,378,39,45,183,9,66,5196,894,2844,390,153,264,27,33,132,3,48,4794
"51050","Birkenhead","Birkenhead","Total","Total","Total",600,2664,441,126,900,18,21,150,147,78,5142,1347,2445,429,114,864,6,21,135,60,72,5490
"Total","Total","Total","51050","Birkenhead","Birkenhead",600,1530,219,78,222,12,6,168,3,18,2859,1347,1512,213,108,189,6,12,141,6,24,3558
"51060","Hauraki","Hauraki","Total","Total","Total",240,1059,162,45,261,3,33,84,48,30,1965,555,1077,147,54,264,3,45,66,24,30,2259
"Total","Total","Total","51060","Hauraki","Hauraki",240,192,27,3,15,3,6,21,0,3,504,555,216,27,9,21,0,0,30,3,3,864
"51070","Belmont (Auckland)","Belmont (Auckland)","Total","Total","Total",141,735,99,27,117,6,45,54,141,21,1377,312,699,105,33,129,0,21,54,69,24,1452
"Total","Total","Total","51070","Belmont (Auckland)","Belmont (Auckland)",141,363,27,15,27,0,9,36,0,3,618,312,417,21,15,21,0,15,48,6,6,861
"51080","Narrow Neck","Narrow Neck","Total","Total","Total",288,879,135,36,81,9,75,63,318,30,1923,621,840,138,51,96,3,51,96,222,36,2151
"Total","Total","Total","51080","Narrow Neck","Narrow Neck",288,195,42,15,15,0,9,21,6,3,597,621,267,48,12,42,3,9,48,3,15,1065
"51090","Bayswater","Bayswater","Total","Total","Total",177,627,108,33,60,9,42,21,216,33,1326,336,651,90,21,102,6,42,21,105,18,1392
"Total","Total","Total","51090","Bayswater","Bayswater",177,114,33,12,9,0,3,18,3,3,372,336,117,24,6,9,0,3,18,3,0,516
"51100","Chatswood","Chatswood","Total","Total","Total",189,903,144,36,270,3,6,30,21,27,1632,459,843,150,36,207,0,9,27,3,27,1761
"Total","Total","Total","51100","Chatswood","Chatswood",189,360,30,27,27,3,3,24,0,12,672,459,441,45,36,30,0,3,27,0,15,1056
"51110","Northcote Point (Auckland)","Northcote Point (Auckland)","Total","Total","Total",210,879,162,48,228,6,9,45,51,18,1662,390,777,135,30,213,3,6,36,6,12,1605
"Total","Total","Total","51110","Northcote Point (Auckland)","Northcote Point (Auckland)",210,345,54,24,72,12,3,30,12,12,777,390,312,45,18,36,3,0,27,0,12,840
"51120","Devonport","Devonport","Total","Total","Total",438,903,114,30,63,27,81,177,660,36,2526,780,831,114,33,69,12,75,183,468,33,2598
"Total","Total","Total","51120","Devonport","Devonport",438,1149,99,57,90,18,75,195,48,42,2208,780,1107,81,60,93,9,51,198,36,39,2451
"51130","Stanley Point","Stanley Point","Total","Total","Total",270,297,39,24,15,15,30,132,204,30,1050,372,372,39,21,12,3,21,105,171,27,1146
"Total","Total","Total","51130","Stanley Point","Stanley Point",270,1065,51,42,27,18,84,177,24,69,1827,372,1482,81,36,39,12,69,141,39,72,2340
"51140","Saint Marys Bay","Saint Marys Bay","Total","Total","Total",207,513,102,33,111,6,39,195,0,36,1239,321,435,66,21,72,3,39,168,6,48,1182
"Total","Total","Total","51140","Saint Marys Bay","Saint Marys Bay",207,732,90,36,75,9,12,81,6,15,1266,321,717,114,27,75,3,21,63,3,18,1365
"51150","Auckland City Centre","Auckland City Centre","Total","Total","Total",1350,2943,411,324,3144,708,216,8454,72,285,17901,3747,3336,462,288,3054,456,291,7401,81,549,19668
"Total","Total","Total","51150","Auckland City Centre","Auckland City Centre",1350,38724,4347,3390,24051,9957,2292,9768,3303,2235,99423,3747,33384,4134,2199,20622,6240,2517,8580,2472,2064,85965
"51160","Herne Bay","Herne Bay","Total","Total","Total",258,747,135,39,126,3,75,141,0,39,1557,420,663,105,33,87,0,72,111,0,30,1524
"Total","Total","Total","51160","Herne Bay","Herne Bay",258,294,42,6,36,3,6,30,0,6,684,420,285,39,9,33,6,6,24,0,3,825
"51170","Ponsonby","Ponsonby","Total","Total","Total",471,1329,219,51,378,21,117,519,6,96,3207,792,1251,183,60,237,6,108,459,6,90,3195
"Total","Total","Total","51170","Ponsonby","Ponsonby",471,1656,198,78,252,33,39,252,15,42,3033,792,1743,171,87,276,15,27,258,6,72,3447
"51180","Freemans Bay","Freemans Bay","Total","Total","Total",345,852,168,36,219,18,90,786,0,51,2565,597,687,147,33,183,6,84,651,6,60,2451
"Total","Total","Total","51180","Freemans Bay","Freemans Bay",345,2433,333,108,441,87,81,354,51,123,4353,597,2589,255,99,495,69,93,297,30,129,4653
"51190","Orakei","Orakei","Total","Total","Total",411,1386,252,96,246,60,81,48,0,60,2640,747,1386,219,63,186,33,87,51,0,66,2847
"Total","Total","Total","51190","Orakei","Orakei",411,444,69,39,42,15,6,36,0,6,1071,747,564,81,27,45,9,12,36,3,12,1536
"51200","Parnell","Parnell","Total","Total","Total",600,1605,255,78,480,90,129,831,6,120,4191,1080,1431,243,84,516,66,126,753,9,105,4413
"Total","Total","Total","51200","Parnell","Parnell",600,6051,873,264,984,387,261,624,144,228,10416,1080,5835,864,222,795,363,261,531,105,189,10242
"51210","Westmere","Westmere","Total","Total","Total",387,1455,237,75,276,9,123,135,0,102,2802,750,1317,210,78,246,3,111,114,0,57,2889
"Total","Total","Total","51210","Westmere","Westmere",387,828,69,54,84,9,27,75,3,21,1554,750,822,66,48,84,6,54,96,0,12,1935
"51220","Point Chevalier","Point Chevalier","Total","Total","Total",480,2202,348,105,381,30,174,78,0,78,3876,993,1995,336,117,369,15,195,99,3,87,4209
"Total","Total","Total","51220","Point Chevalier","Point Chevalier",480,801,72,51,96,15,21,60,0,9,1611,993,915,99,87,138,6,18,75,0,21,2355
"51230","Grafton","Grafton","Total","Total","Total",126,414,72,30,240,45,45,453,3,27,1455,345,567,57,33,282,30,45,534,0,33,1926
"Total","Total","Total","51230","Grafton","Grafton",126,7068,633,429,1449,636,300,780,96,195,11721,345,8508,669,519,1983,612,390,927,75,279,14310
"51240","Saint Heliers","Saint Heliers","Total","Total","Total",840,3015,549,123,363,117,141,99,0,99,5352,1605,2826,456,117,441,69,171,120,3,75,5883
"Total","Total","Total","51240","Saint Heliers","Saint Heliers",840,999,129,60,90,12,18,93,3,12,2256,1605,966,171,69,105,6,18,111,0,15,3066
"51250","Mission Bay","Mission Bay","Total","Total","Total",339,1197,189,54,204,42,78,45,3,36,2190,603,1140,180,48,213,18,69,51,0,21,2346
"Total","Total","Total","51250","Mission Bay","Mission Bay",339,576,42,63,99,9,6,60,3,15,1209,603,594,63,75,105,6,6,51,3,15,1515
"51260","Glendowie","Glendowie","Total","Total","Total",579,2307,396,114,234,102,108,90,0,39,3972,1110,2082,327,135,243,75,105,87,0,42,4203
"Total","Total","Total","51260","Glendowie","Glendowie",579,753,84,33,48,12,12,84,0,3,1617,1110,798,69,54,39,6,12,84,0,12,2181
"51270","Kohimarama","Kohimarama","Total","Total","Total",357,1155,222,48,165,33,69,42,0,36,2121,585,1053,183,42,183,21,72,39,0,39,2220
"Total","Total","Total","51270","Kohimarama","Kohimarama",357,432,36,33,39,9,9,66,0,6,984,585,498,51,18,33,3,12,66,3,12,1278
"51280","Bucklands Beach","Bucklands Beach","Total","Total","Total",462,2514,486,129,120,63,24,54,99,30,3984,894,2529,474,129,135,48,15,51,75,30,4383
"Total","Total","Total","51280","Bucklands Beach","Bucklands Beach",462,438,72,27,18,6,0,24,6,6,1059,894,453,78,24,18,3,6,30,0,3,1506
"51290","Waitākere East","Waitakere East","Total","Total","Total",603,2355,642,96,27,240,27,30,3,45,4071,1032,2211,573,120,18,141,30,30,0,36,4185
"Total","Total","Total","51290","Waitākere East","Waitakere East",603,531,174,48,12,6,3,24,3,3,1407,1032,471,132,36,6,9,3,27,3,6,1725
"51300","Avondale (Auckland)","Avondale (Auckland)","Total","Total","Total",663,5985,804,441,1047,591,129,237,12,135,10044,1953,5877,753,462,843,321,171,204,3,162,10752
"Total","Total","Total","51300","Avondale (Auckland)","Avondale (Auckland)",663,7167,1665,405,348,105,108,198,12,102,10773,1953,7482,1677,411,321,48,117,186,6,126,12330
"51310","Glendene","Glendene","Total","Total","Total",180,2028,360,165,174,162,12,30,9,39,3153,528,2154,294,132,168,84,15,21,0,48,3441
"Total","Total","Total","51310","Glendene","Glendene",180,777,225,54,27,6,6,21,0,9,1311,528,882,240,72,27,6,9,27,0,15,1803
"51320","Kelston","Kelston","Total","Total","Total",120,1389,183,126,123,111,18,42,0,30,2142,369,1500,186,156,138,69,12,30,3,21,2478
"Total","Total","Total","51320","Kelston","Kelston",120,942,114,54,42,18,6,48,0,9,1350,369,882,87,63,54,18,6,42,0,12,1533
"51330","Sunnyvale","Sunnyvale","Total","Total","Total",135,1551,207,120,93,282,12,24,3,27,2451,525,1698,231,126,63,168,12,27,0,36,2886
"Total","Total","Total","51330","Sunnyvale","Sunnyvale",135,153,24,9,12,6,3,9,0,0,351,525,186,24,12,9,3,3,15,3,3,774
"51340","Glen Eden","Glen Eden","Total","Total","Total",621,5187,849,288,330,699,66,99,9,96,8241,1710,5118,879,300,273,471,84,108,3,87,9033
"Total","Total","Total","51340","Glen Eden","Glen Eden",621,1659,243,108,45,45,9,78,0,12,2820,1710,1719,327,114,51,21,18,87,3,15,4065
"51350","New Lynn","New Lynn","Total","Total","Total",561,5385,711,336,558,894,75,321,15,159,9012,1746,5397,711,324,549,576,75,246,3,102,9729
"Total","Total","Total","51350","New Lynn","New Lynn",561,4083,711,279,441,222,42,261,15,54,6675,1746,4218,699,339,465,132,45,243,6,72,7968
"51360","Titirangi","Titirangi","Total","Total","Total",954,4452,912,168,243,372,57,90,0,114,7368,2034,4029,798,180,207,240,84,90,3,93,7758
"Total","Total","Total","51360","Titirangi","Titirangi",954,894,165,51,33,18,6,72,0,12,2205,2034,960,147,51,54,6,12,57,3,15,3333
"51370","Green Bay","Green Bay","Total","Total","Total",189,1194,267,45,108,66,18,42,0,27,1959,435,1149,237,54,105,30,21,39,0,15,2088
"Total","Total","Total","51370","Green Bay","Green Bay",189,492,42,24,15,3,3,45,0,3,816,435,531,42,33,24,3,3,51,0,9,1134
"51380","Grey Lynn","Grey Lynn","Total","Total","Total",807,2949,402,183,939,66,297,966,9,204,6819,1527,2664,378,168,747,30,288,888,6,174,6873
"Total","Total","Total","51380","Grey Lynn","Grey Lynn",807,5418,993,321,837,111,180,771,48,174,9660,1527,5259,972,297,813,66,219,792,36,225,10206
"51390","Eden Terrace","Eden Terrace","Total","Total","Total",144,651,93,57,363,96,69,540,3,48,2064,474,759,123,39,321,15,51,444,3,78,2307
"Total","Total","Total","51390","Eden Terrace","Eden Terrace",144,2985,708,159,411,180,90,297,30,144,5148,474,2697,543,123,354,72,105,261,27,102,4764
"51400","Remuera","Remuera","Total","Total","Total",1842,6969,1161,333,972,759,207,489,6,210,12954,3477,6594,1071,348,957,501,231,468,3,222,13869
"Total","Total","Total","51400","Remuera","Remuera",1842,4278,462,201,375,285,63,300,24,81,7908,3477,4323,477,195,423,141,72,285,21,93,9507
"51410","Kingsland","Kingsland","Total","Total","Total",171,858,150,54,303,180,81,237,3,51,2091,414,789,129,33,255,105,111,180,3,51,2070
"Total","Total","Total","51410","Kingsland","Kingsland",171,1023,195,48,126,66,45,105,9,33,1821,414,1077,207,54,114,42,42,114,9,33,2109
"51420","Newmarket","Newmarket","Total","Total","Total",114,432,60,30,216,153,24,312,3,15,1353,288,426,48,27,252,111,18,309,0,24,1503
"Total","Total","Total","51420","Newmarket","Newmarket",114,7359,1068,384,1728,1296,243,765,108,219,13281,288,6873,903,453,2016,804,243,669,60,234,12537
"51430","Mount Eden","Mount Eden","Total","Total","Total",1422,6300,849,318,2301,225,417,801,9,294,12933,3069,6054,813,336,1974,102,447,792,9,270,13863
"Total","Total","Total","51430","Mount Eden","Mount Eden",1422,6204,948,321,741,297,162,615,30,123,10866,3069,6339,882,396,732,132,162,588,21,120,12441
"51440","Mount Albert","Mount Albert","Total","Total","Total",861,5286,687,258,1134,624,255,477,0,168,9750,2097,5025,684,336,963,390,339,297,6,156,10293
"Total","Total","Total","51440","Mount Albert","Mount Albert",861,5244,450,282,576,225,120,498,15,87,8355,2097,5043,453,393,582,81,117,393,6,90,9264
"51450","Morningside (Auckland)","Morningside (Auckland)","Total","Total","Total",228,1101,180,54,315,192,114,138,0,60,2388,456,981,153,48,219,129,105,114,0,48,2256
"Total","Total","Total","51450","Morningside (Auckland)","Morningside (Auckland)",228,1068,285,63,69,54,30,102,3,21,1917,456,1179,282,63,78,45,36,99,3,39,2277
"51460","Epsom","Epsom","Total","Total","Total",1074,4695,690,294,1173,231,159,555,3,138,9018,2124,4632,645,324,1206,120,162,486,3,147,9855
"Total","Total","Total","51460","Epsom","Epsom",1074,7305,687,363,705,270,123,504,39,126,11199,2124,6804,711,336,639,150,141,411,12,111,11445
"51470","Waterview","Waterview","Total","Total","Total",123,957,147,57,210,24,48,27,0,24,1617,369,1008,114,57,201,9,78,21,0,30,1887
"Total","Total","Total","51470","Waterview","Waterview",123,126,18,9,12,6,3,6,0,3,309,369,168,33,9,6,0,6,6,0,0,597
"51480","Sandringham","Sandringham","Total","Total","Total",468,3129,408,177,1041,180,186,291,3,132,6015,1278,2952,357,156,876,99,177,237,3,126,6261
"Total","Total","Total","51480","Sandringham","Sandringham",468,654,138,36,87,12,12,72,0,12,1503,1278,636,120,27,75,9,15,69,0,18,2244
"51490","Greenlane","Greenlane","Total","Total","Total",393,2184,339,114,393,318,75,195,3,72,4083,864,2109,276,114,447,171,81,153,3,57,4269
"Total","Total","Total","51490","Greenlane","Greenlane",393,1698,342,120,177,99,18,99,3,27,2976,864,1302,309,75,129,27,12,90,3,18,2829
"51500","One Tree Hill","One Tree Hill","Total","Total","Total",222,1398,222,72,183,84,51,57,0,42,2328,510,1326,222,69,111,48,51,51,3,42,2433
"Total","Total","Total","51500","One Tree Hill","One Tree Hill",222,162,36,15,12,3,3,18,0,3,471,510,189,27,21,15,3,3,24,0,3,801
"51510","New Windsor","New Windsor","Total","Total","Total",243,2139,258,150,363,57,33,39,3,42,3321,648,2121,264,171,252,39,39,51,0,42,3621
"Total","Total","Total","51510","New Windsor","New Windsor",243,258,51,15,21,3,0,12,0,3,609,648,312,51,27,21,0,6,30,0,9,1095
"51520","Wesley","Wesley","Total","Total","Total",117,1119,108,120,228,12,18,63,0,24,1806,270,972,108,84,168,9,12,39,0,24,1689
"Total","Total","Total","51520","Wesley","Wesley",117,1818,309,138,129,18,30,90,0,48,2691,270,1269,216,117,102,6,12,69,0,27,2082
"51530","Mount Roskill","Mount Roskill","Total","Total","Total",861,7221,786,489,1740,42,144,213,0,177,11673,2169,6909,780,450,1386,24,138,162,3,156,12174
"Total","Total","Total","51530","Mount Roskill","Mount Roskill",861,1533,231,102,156,24,24,132,6,24,3087,2169,1734,273,114,120,9,24,96,0,24,4563
"51540","Three Kings","Three Kings","Total","Total","Total",156,1086,126,75,318,6,18,63,3,30,1884,408,1188,120,60,264,3,15,48,0,27,2130
"Total","Total","Total","51540","Three Kings","Three Kings",156,1320,210,78,87,18,18,75,3,24,1989,408,1191,222,90,102,6,18,69,0,27,2133
"51550","Royal Oak (Auckland)","Royal Oak (Auckland)","Total","Total","Total",213,1470,222,93,330,30,24,108,0,42,2529,516,1383,198,60,339,6,39,96,0,42,2679
"Total","Total","Total","51550","Royal Oak (Auckland)","Royal Oak (Auckland)",213,1539,135,114,177,42,18,129,0,27,2397,516,1368,126,123,177,9,18,138,0,24,2499
"51560","Blockhouse Bay","Blockhouse Bay","Total","Total","Total",414,3435,495,204,555,129,24,99,3,57,5421,1158,3624,507,228,513,69,33,81,3,57,6273
"Total","Total","Total","51560","Blockhouse Bay","Blockhouse Bay",414,1200,132,93,108,21,3,75,3,21,2067,1158,1179,105,75,108,12,9,60,0,18,2727
"51570","Onehunga","Onehunga","Total","Total","Total",666,4974,747,309,567,513,117,366,3,138,8400,1563,4887,660,285,624,150,150,279,0,135,8733
"Total","Total","Total","51570","Onehunga","Onehunga",666,6816,1938,450,426,207,84,288,27,108,11010,1563,6636,1875,429,390,78,63,225,9,93,11355
"51580","Hillsborough (Auckland)","Hillsborough (Auckland)","Total","Total","Total",255,2064,324,108,282,33,42,33,0,39,3183,666,2013,321,102,297,6,48,33,0,33,3525
"Total","Total","Total","51580","Hillsborough (Auckland)","Hillsborough (Auckland)",255,300,30,33,24,6,0,18,0,6,669,666,324,39,21,21,0,0,21,0,6,1104
"51590","Lynfield","Lynfield","Total","Total","Total",300,2244,291,114,486,15,9,54,0,36,3552,735,2229,288,111,360,9,12,63,0,27,3828
"Total","Total","Total","51590","Lynfield","Lynfield",300,489,63,24,36,15,3,48,3,12,990,735,654,57,57,69,6,6,63,0,12,1659
"51600","Waikowhai","Waikowhai","Total","Total","Total",108,672,120,33,102,6,3,9,0,15,1068,210,666,99,24,84,3,6,6,0,15,1113
"Total","Total","Total","51600","Waikowhai","Waikowhai",108,114,18,6,0,3,0,6,0,0,249,210,102,21,3,0,0,0,3,0,0,339
"51610","Māngere Bridge","Mangere Bridge","Total","Total","Total",351,2940,507,174,177,99,63,51,6,60,4428,819,2973,456,198,183,18,60,45,0,60,4818
"Total","Total","Total","51610","Māngere Bridge","Mangere Bridge",351,1356,273,93,123,33,27,63,9,18,2346,819,1377,261,84,36,6,18,39,0,15,2658
"51620","Favona","Favona","Total","Total","Total",198,2520,198,291,132,90,12,42,3,24,3510,471,2598,267,348,96,42,12,24,0,45,3906
"Total","Total","Total","51620","Favona","Favona",198,1434,243,75,42,18,9,45,3,18,2091,471,1158,171,78,36,15,3,33,3,24,1986
"51630","Meadowbank","Meadowbank","Total","Total","Total",309,1446,237,48,138,306,48,36,0,30,2598,630,1455,237,48,129,222,72,45,0,36,2874
"Total","Total","Total","51630","Meadowbank","Meadowbank",309,213,57,9,24,9,0,12,0,3,639,630,273,45,18,15,6,0,15,0,3,1008
"51640","Glen Innes-Wai O Taiki Bay","Glen Innes-Wai O Taiki Bay","Total","Total","Total",213,1683,243,174,165,213,21,81,6,36,2832,732,2217,300,192,249,207,63,90,3,42,4095
"Total","Total","Total","51640","Glen Innes-Wai O Taiki Bay","Glen Innes-Wai O Taiki Bay",213,381,48,30,24,6,6,33,0,0,738,732,513,81,36,18,6,9,30,0,6,1431
"51650","Eastern Beach","Eastern Beach","Total","Total","Total",123,579,135,15,36,9,3,12,33,0,942,228,528,105,21,36,6,3,12,27,3,966
"Total","Total","Total","51650","Eastern Beach","Eastern Beach",123,276,21,9,9,3,3,15,0,0,459,228,273,18,12,9,0,3,18,0,3,567
"51660","Saint Johns","Saint Johns","Total","Total","Total",306,1704,297,99,210,231,27,69,0,48,2994,672,1671,219,102,213,144,39,69,0,36,3159
