sa2_code,sa2_name,dhb,pop_cnt,dose1_cnt,dose2_cnt,dose1_uptake,dose2_uptake
223500,Brunswick-Papaiti,Whanganui,86,67,61, 779 , 709 
223600,Castlecliff West,Whanganui,459,311,229, 678 , 499 
223700,Otamatea (Whanganui District),Whanganui,87,78,68, 897 , 782 
223800,Castlecliff East,Whanganui,661,454,341, 687 , 516 
224000,Lower Aramoho,Whanganui,468,352,267, 752 , 571 
224100,St Johns Hill East,Whanganui,77,66,61, 857 , 792 
224200,St Johns Hill West,Whanganui,205,166,141, 810 , 688 
224300,Titoki,Whanganui,904,654,510, 723 , 564 
224400,Springvale West,Whanganui,188,146,121, 777 , 644 
224500,Springvale East,Whanganui,155,128,111, 826 , 716 
224600,Upper Aramoho,Whanganui,508,389,325, 766 , 640 
224700,Balgownie,Whanganui,45,34,31, 756 , 689 
224800,Laird Park,Whanganui,561,368,292, 656 , 520 
224900,Wembley Park,Whanganui,614,410,321, 668 , 523 
225000,College Estate,Whanganui,186,154,131, 828 , 704 
225100,Whanganui East-Williams Domain,Whanganui,422,285,223, 675 , 528 
225200,Gonville West,Whanganui,645,410,306, 636 , 474 
225300,Gonville North,Whanganui,529,393,312, 743 , 590 
225400,Cornmarket,Whanganui,237,173,146, 730 , 616 
225500,Whanganui East-Riverlands,Whanganui,366,291,226, 795 , 617 
225600,Kaitoke-Fordell,Whanganui,141,107,80, 759 , 567 
225700,Whanganui Central,Whanganui,138,116,92, 841 , 667 
225800,Gonville South,Whanganui,373,297,244, 796 , 654 
225900,Bastia-Durie Hill,Whanganui,264,204,171, 773 , 648 
226000,Putiki,Whanganui,186,158,141, 849 , 758 
226100,Mokai Patea,Whanganui,262,221,196, 844 , 748 
226300,Turakina,Whanganui,423,360,317, 851 , 749 
226400,Otairi,Whanganui,155,117,100, 755 , 645 
226500,Taihape,Whanganui,581,455,371, 783 , 639 
226600,Marton Rural,Whanganui,64,51,45, 797 , 703 
226700,Marton North,Whanganui,410,311,247, 759 , 602 
226800,Parewanui,Whanganui,73,58,53, 795 , 726 
226900,Marton South,Whanganui,525,387,319, 737 , 608 
227000,Bulls,Whanganui,351,279,233, 795 , 664 
